2,1700
2,1600
3,6300
2,1500
3,6300
4,13950
2,2350
2,2250
2,1500
2,1500
2,1600
2,2550
2,1500
2,2250
3,6100
4,14100
5,684250
6,684250
7,684250
8,684250
9,684250
10,684250
11,684250
12,684250
13,684250
14,684250
15,684250
16,684250
17,684250
18,684250
19,684250
20,684250
21,684250
22,684250
2,1600
3,6200
4,14650
5,645200
6,645200
7,645200
8,645200
9,645200
10,645200
11,645200
12,645200
13,645200
14,645200
15,645200
16,645200
17,645200
18,645200
19,645200
20,645200
21,645200
2,1500
